primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
The Story of the Kelly Gang,1906,70,"Action,Adventure,Biography",6.0,1039
Dante's Inferno,1911,71,"Adventure,Drama,Fantasy",7.0,3989
Passion,1919,113,"Biography,Drama,Romance",6.7,1105
Fantômas: In the Shadow of the Guillotine,1913,54,"Crime,Drama",6.9,2686
Ingeborg Holm,1913,96,Drama,7.0,1567
Fantomas: The Man in Black,1913,61,"Crime,Drama",6.9,1826
Fantômas: The Dead Man Who Killed,1913,90,"Crime,Drama,Mystery",6.9,1455
The Student of Prague,1913,83,"Drama,Fantasy,Horror",6.4,2646
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,"Crime,Drama,Horror",6.4,1557
Cabiria,1914,148,"Adventure,Drama,History",7.1,4264
Cinderella,1914,52,"Drama,Fantasy",6.1,1134
Fantomas: The Mysterious Finger Print,1914,59,"Crime,Drama",6.8,1541
Fantômas: The False Magistrate,1914,70,"Crime,Drama",6.7,1307
The Golem,1914,60,Horror,6.7,1316
Judith of Bethulia,1914,61,Drama,6.2,1525
The Perils of Pauline,1914,199,"Action,Adventure,Drama",6.3,1116
The Squaw Man,1914,74,"Action,Drama,Romance",5.7,1134
Tillie's Punctured Romance,1914,82,Comedy,6.2,3875
The Birth of a Nation,1915,195,"Drama,War",6.1,27935
Carmen,1915,59,"Drama,Musical",6.3,1165
The Cheat,1915,59,"Drama,Romance",6.5,3021
A Fool There Was,1915,67,Drama,5.7,1148
After Death,1915,46,"Drama,Horror",6.8,1115
The Regeneration,1915,72,"Biography,Crime,Drama",6.8,1546
Les Vampires,1915,421,"Action,Adventure,Crime",7.3,5798
"20,000 Leagues Under the Sea",1916,105,"Action,Adventure,Sci-Fi",6.1,2195
Hell's Hinges,1916,64,"Drama,Romance,Western",6.7,1165
Intolerance,1916,163,"Drama,History",7.7,17709
Judex,1916,300,"Adventure,Crime",7.2,1210
The Poor Little Rich Girl,1917,78,"Comedy,Drama,Family",6.7,1646
A Man There Was,1917,65,"Drama,War",7.3,2528
The Outlaw and His Wife,1918,72,Drama,7.2,2271
The Blue Bird,1918,75,"Family,Fantasy",6.9,1108
Hearts of the World,1918,117,"Drama,Romance,War",6.5,1164
Mickey,1918,93,"Comedy,Drama",6.1,1217
Stella Maris,1918,84,Drama,6.9,1668
Tarzan of the Apes,1918,73,"Action,Adventure",5.8,1003
Different from the Others,1919,50,"Crime,Drama,History",7.0,1664
Auction of Souls,1919,80,"Drama,History,Romance",5.4,1283
The Oyster Princess,1919,60,Comedy,7.2,2362
Back to God's Country,1919,73,"Adventure,Drama,Romance",6.3,1015
Blind Husbands,1919,102,"Drama,Romance",6.9,1796
Broken Blossoms,1919,90,"Drama,Romance",7.2,11652
Daddy-Long-Legs,1919,85,"Comedy,Drama,Musical",6.6,1518
Don't Change Your Husband,1919,71,Comedy,6.6,1315
Sir Arne's Treasure,1919,122,"Drama,History",7.1,1668
The Hoodlum,1919,78,Comedy,6.7,1077
I Don't Want to Be a Man,1918,45,"Comedy,Romance",6.8,1796
J'accuse!,1919,166,"Drama,Horror,War",7.7,2333
The Cabinet of Dr. Caligari,1920,67,"Horror,Mystery,Thriller",8.0,75104
Male and Female,1919,116,"Adventure,Drama",7.0,2053
The President,1919,85,Drama,6.6,1146
The Doll,1919,66,"Comedy,Fantasy,Romance",7.4,2612
The Spiders - Episode 1: The Golden Sea,1919,130,"Adventure,Drama,Western",6.5,1597
True Heart Susie,1919,87,"Comedy,Drama,Romance",6.9,2117
When the Clouds Roll by,1919,85,"Action,Comedy,Romance",6.8,1044
Leaves From Satan's Book,1920,167,Drama,6.6,1435
Dr. Jekyll and Mr. Hyde,1920,69,"Drama,Horror,Sci-Fi",6.9,6568
Erotikon,1920,106,"Comedy,Romance",6.4,1121
Genuine: The Tragedy of a Vampire,1920,88,"Fantasy,Horror,Romance",5.9,1246
The Golem,1920,91,"Fantasy,Horror",7.2,9356
The Last of the Mohicans,1920,73,"Action,Adventure,Drama",6.7,1550
The Mark of Zorro,1920,79,"Adventure,Drama,Romance",7.0,3003
The Penalty,1920,90,"Crime,Drama,Horror",7.3,2837
The Parson's Widow,1920,94,"Comedy,Drama,Horror",7.1,1636
The Saphead,1920,77,"Comedy,Drama,Romance",6.1,1902
The Spiders - Episode 2: The Diamond Ship,1920,104,Adventure,6.1,1218
Way Down East,1920,145,"Drama,Romance",7.3,6225
Why Change Your Wife?,1920,90,"Comedy,Drama",6.7,1558
Within Our Gates,1920,79,"Drama,Romance",6.4,3966
The Ace of Hearts,1921,75,"Crime,Drama,Mystery",6.8,1439
The Affairs of Anatol,1921,117,"Comedy,Drama",6.6,1419
The Wildcat,1921,79,"Comedy,Drama,Romance",6.9,1468
Camille,1921,72,"Drama,Romance",6.5,1123
The Four Horsemen of the Apocalypse,1921,150,"Drama,Romance,War",7.1,3786
The Kid,1921,68,"Comedy,Drama,Family",8.2,143894
The Phantom Carriage,1921,107,"Drama,Fantasy,Horror",8.0,15452
Destiny,1921,114,"Drama,Fantasy,Horror",7.6,7230
Orphans of the Storm,1921,150,"Drama,History,Romance",7.3,5707
A Sailor-Made Man,1921,47,"Action,Adventure,Comedy",6.8,1361
The Haunted Castle,1921,69,"Crime,Drama,Horror",6.1,2247
The Sheik,1921,86,"Adventure,Drama,Romance",6.2,3882
The Three Musketeers,1921,119,"Action,Adventure,Family",6.9,1249
Tol'able David,1921,99,Drama,7.1,2021
Beyond the Rocks,1922,80,"Drama,Romance",6.7,2459
Blood and Sand,1922,108,"Drama,Romance,Sport",6.3,1632
Dr. Jack,1922,60,"Comedy,Romance",7.1,1784
"Dr. Mabuse, the Gambler",1922,195,"Crime,Mystery,Thriller",7.8,9793
Foolish Wives,1922,117,"Drama,Thriller",7.0,4303
Grandma's Boy,1922,60,"Comedy,Family",7.0,2174
Häxan,1922,91,"Documentary,Fantasy,Horror",7.6,18758
Nanook of the North,1922,78,Documentary,7.6,14211
Nosferatu: A Symphony of Horror,1922,94,"Fantasy,Horror",7.8,121815
Phantom,1922,125,"Drama,Romance",6.7,2073
Robin Hood,1922,143,"Adventure,Family,Romance",7.0,2638
Salomé,1922,72,"Biography,Drama,History",6.6,1355
Warning Shadows,1923,90,"Drama,Fantasy,Horror",6.6,1216
The Toll of the Sea,1922,54,"Drama,Family,Fantasy",6.6,1003
When Knighthood Was in Flower,1922,120,"Drama,Romance",6.6,1167
The Faithful Heart,1923,87,"Drama,Romance",7.4,1573
The Extra Girl,1923,68,"Comedy,Romance",6.7,1251
The Saga of Gösta Berling,1924,183,"Drama,Romance",7.0,1511
The Hunchback of Notre Dame,1923,133,"Drama,Horror,Romance",7.2,6692
Little Old New York,1923,110,"Comedy,Romance",6.4,1155
